,director,actor2,genres,actor1,title,actor3,comb
836,Robert Zemeckis,Siobhan Fallon Hogan,Comedy Drama,Tom Hanks,forrest gump,Sam Anderson,Tom Hanks Siobhan Fallon Hogan Sam Anderson Robert Zemeckis Comedy Drama
837,Tim Hill,Beth Riesgraf,Animation Comedy Family Fantasy Music,Jesse McCartney,alvin and the chipmunks,Matthew Gray Gubler,Jesse McCartney Beth Riesgraf Matthew Gray Gubler Tim Hill Animation Comedy Family Fantasy Music
838,Jay Roach,Blythe Danner,Comedy,Robert De Niro,meet the parents,Teri Polo,Robert De Niro Blythe Danner Teri Polo Jay Roach Comedy
839,Mike Gabriel,Frank Welker,Adventure Animation Drama Family History Musical Romance,Christian Bale,pocahontas,Irene Bedard,Christian Bale Frank Welker Irene Bedard Mike Gabriel Adventure Animation Drama Family History Musical Romance
840,Richard Donner,Margot Kidder,Action Adventure Drama Romance Sci-Fi,Marlon Brando,superman,Ned Beatty,Marlon Brando Margot Kidder Ned Beatty Richard Donner Action Adventure Drama Romance Sci-Fi
841,Tom Shadyac,James Coburn,Comedy Romance Sci-Fi,Jada Pinkett Smith,the nutty professor,Dave Chappelle,Jada Pinkett Smith James Coburn Dave Chappelle Tom Shadyac Comedy Romance Sci-Fi
842,Andy Tennant,Michael Rapaport,Comedy Romance,Will Smith,hitch,Kevin Sussman,Will Smith Michael Rapaport Kevin Sussman Andy Tennant Comedy Romance
843,Sam Weisman,Abraham Benrubi,Action Adventure Comedy Family Romance,Brendan Fraser,george of the jungle,Holland Taylor,Brendan Fraser Abraham Benrubi Holland Taylor Sam Weisman Action Adventure Comedy Family Romance
844,Jesse Dylan,Thomas Ian Nicholas,Comedy Romance,Alyson Hannigan,american wedding,Fred Willard,Alyson Hannigan Thomas Ian Nicholas Fred Willard Jesse Dylan Comedy Romance
845,Paul Greengrass,Chris Mulkey,Biography Drama Thriller,Tom Hanks,captain phillips,Michael Chernus,Tom Hanks Chris Mulkey Michael Chernus Paul Greengrass Biography Drama Thriller
846,Shawn Levy,James Franco,Comedy Crime Romance Thriller,Mila Kunis,date night,Steve Carell,Mila Kunis James Franco Steve Carell Shawn Levy Comedy Crime Romance Thriller
847,Brad Silberling,Fred Rogers,Comedy Family Fantasy,Eric Idle,casper,Cathy Moriarty,Eric Idle Fred Rogers Cathy Moriarty Brad Silberling Comedy Family Fantasy
848,Antoine Fuqua,Chloë Grace Moretz,Action Crime Thriller,Denzel Washington,the equalizer,James Wilcox,Denzel Washington Chloë Grace Moretz James Wilcox Antoine Fuqua Action Crime Thriller
849,Wayne Wang,Frances Conroy,Comedy Drama Romance,Bob Hoskins,maid in manhattan,Natasha Richardson,Bob Hoskins Frances Conroy Natasha Richardson Wayne Wang Comedy Drama Romance
850,Tony Scott,Viggo Mortensen,Action Drama Thriller War,Denzel Washington,crimson tide,Ricky Schroder,Denzel Washington Viggo Mortensen Ricky Schroder Tony Scott Action Drama Thriller War
851,Gabriele Muccino,Kurt Fuller,Biography Drama,Will Smith,the pursuit of happyness,James Karen,Will Smith Kurt Fuller James Karen Gabriele Muccino Biography Drama
852,Robert Schwentke,Michael Irby,Drama Mystery Thriller,Erika Christensen,flightplan,Haley Ramm,Erika Christensen Michael Irby Haley Ramm Robert Schwentke Drama Mystery Thriller
853,Barry Levinson,Dylan Baker,Drama Thriller,Demi Moore,disclosure,Roma Maffia,Demi Moore Dylan Baker Roma Maffia Barry Levinson Drama Thriller
854,Brad Silberling,Andre Braugher,Drama Fantasy Romance,Nicolas Cage,city of angels,Colm Feore,Nicolas Cage Andre Braugher Colm Feore Brad Silberling Drama Fantasy Romance
855,Quentin Tarantino,Vivica A. Fox,Action,David Carradine,kill bill: vol. 1,Chiaki Kuriyama,David Carradine Vivica A. Fox Chiaki Kuriyama Quentin Tarantino Action
856,Frank Oz,Adam Alexi-Malle,Comedy,Robert Downey Jr.,bowfinger,Jamie Kennedy,Robert Downey Jr. Adam Alexi-Malle Jamie Kennedy Frank Oz Comedy
857,,Don S. Davis,Action Adventure Drama Sci-Fi,Christopher Judge,stargate sg-1            ,Gary Jones,Christopher Judge Don S. Davis Gary Jones  Action Adventure Drama Sci-Fi
858,Quentin Tarantino,Michael Parks,Action Crime Drama Thriller,Vivica A. Fox,kill bill: vol. 2,Michael Bowen,Vivica A. Fox Michael Parks Michael Bowen Quentin Tarantino Action Crime Drama Thriller
859,Andrey Konchalovskiy,Jack Palance,Action Comedy Crime Thriller,Sylvester Stallone,tango & cash,Brion James,Sylvester Stallone Jack Palance Brion James Andrey Konchalovskiy Action Comedy Crime Thriller
860,Robert Zemeckis,Meryl Streep,Comedy Fantasy Horror,Bruce Willis,death becomes her,Isabella Rossellini,Bruce Willis Meryl Streep Isabella Rossellini Robert Zemeckis Comedy Fantasy Horror
861,Tom Dey,Jason Connery,Action Adventure Comedy Western,Xander Berkeley,shanghai noon,Kate Luyben,Xander Berkeley Jason Connery Kate Luyben Tom Dey Action Adventure Comedy Western
862,Stuart Baird,Joe Morton,Action Adventure Thriller,Oliver Platt,executive decision,J.T. Walsh,Oliver Platt Joe Morton J.T. Walsh Stuart Baird Action Adventure Thriller
863,Mark Waters,Ophelia Lovibond,Comedy Family Fantasy,Madeline Carroll,mr. popper's penguins,Philip Baker Hall,Madeline Carroll Ophelia Lovibond Philip Baker Hall Mark Waters Comedy Family Fantasy
864,Rob Minkoff,Thomas McDonell,Action Adventure Fantasy,Jet Li,the forbidden kingdom,Michael Angarano,Jet Li Thomas McDonell Michael Angarano Rob Minkoff Action Adventure Fantasy
865,Jimmy Hayward,Carlos Ponce,Adventure Animation Comedy Family,Amy Poehler,free birds,Dan Fogler,Amy Poehler Carlos Ponce Dan Fogler Jimmy Hayward Adventure Animation Comedy Family
866,David Fincher,Holt McCallany,Action Horror Sci-Fi,Charles S. Dutton,alien 3,Paul McGann,Charles S. Dutton Holt McCallany Paul McGann David Fincher Action Horror Sci-Fi
867,Alan Parker,Jimmy Nail,Biography Drama History Musical,Andrea Corr,evita,Peter Polycarpou,Andrea Corr Jimmy Nail Peter Polycarpou Alan Parker Biography Drama History Musical
868,John Frankenheimer,Natascha McElhone,Action Adventure Crime Thriller,Robert De Niro,ronin,Michael Lonsdale,Robert De Niro Natascha McElhone Michael Lonsdale John Frankenheimer Action Adventure Crime Thriller
869,Stephen Hopkins,Bernard Hill,Adventure Drama Horror Thriller,Tom Wilkinson,the ghost and the darkness,Om Puri,Tom Wilkinson Bernard Hill Om Puri Stephen Hopkins Adventure Drama Horror Thriller
870,Paul King,Matt Lucas,Animation Comedy Family Fantasy,Julie Walters,paddington,Sally Hawkins,Julie Walters Matt Lucas Sally Hawkins Paul King Animation Comedy Family Fantasy
871,Akiva Schaffer,Nicholas Braun,Action Comedy Sci-Fi,Will Forte,the watch,Rosemarie DeWitt,Will Forte Nicholas Braun Rosemarie DeWitt Akiva Schaffer Action Comedy Sci-Fi
872,William Friedkin,Jenna Boyd,Action Crime Drama Thriller,Connie Nielsen,the hunted,Rex Linn,Connie Nielsen Jenna Boyd Rex Linn William Friedkin Action Crime Drama Thriller
873,Jon Turteltaub,Maura Tierney,Drama Thriller,Anthony Hopkins,instinct,John Ashton,Anthony Hopkins Maura Tierney John Ashton Jon Turteltaub Drama Thriller
874,Bobby Farrelly,Terence Bernie Hines,Comedy,Matt Damon,stuck on you,Seymour Cassel,Matt Damon Terence Bernie Hines Seymour Cassel Bobby Farrelly Comedy
875,Kent Alterman,Maura Tierney,Comedy Sport,Will Ferrell,semi-pro,Matt Walsh,Will Ferrell Maura Tierney Matt Walsh Kent Alterman Comedy Sport
876,Peter Lord,Russell Tovey,Adventure Animation Comedy Family,Salma Hayek,the pirates! band of misfits,Brian Blessed,Salma Hayek Russell Tovey Brian Blessed Peter Lord Adventure Animation Comedy Family
877,Clint Eastwood,Michael Kelly,Crime Drama Mystery Thriller,Angelina Jolie Pitt,changeling,Colm Feore,Angelina Jolie Pitt Michael Kelly Colm Feore Clint Eastwood Crime Drama Mystery Thriller
878,Andrew Davis,Morgan Freeman,Action Drama Sci-Fi Thriller,Keanu Reeves,chain reaction,Kevin Dunn,Keanu Reeves Morgan Freeman Kevin Dunn Andrew Davis Action Drama Sci-Fi Thriller
879,Tony Scott,Kurt Fuller,Action Drama Sport Thriller,Robert De Niro,the fan,Ellen Barkin,Robert De Niro Kurt Fuller Ellen Barkin Tony Scott Action Drama Sport Thriller
880,Joel Schumacher,Minnie Driver,Drama Musical Romance Thriller,Gerard Butler,the phantom of the opera,Miranda Richardson,Gerard Butler Minnie Driver Miranda Richardson Joel Schumacher Drama Musical Romance Thriller
881,Shekhar Kapur,Abbie Cornish,Biography Drama History War,Eddie Redmayne,elizabeth: the golden age,Jordi Mollà,Eddie Redmayne Abbie Cornish Jordi Mollà Shekhar Kapur Biography Drama History War
882,Karyn Kusama,Sophie Okonedo,Action Sci-Fi,Charlize Theron,æon flux,Paterson Joseph,Charlize Theron Sophie Okonedo Paterson Joseph Karyn Kusama Action Sci-Fi
883,Ron Maxwell,Bruce Boxleitner,Drama History War,Billy Campbell,gods and generals,John Castle,Billy Campbell Bruce Boxleitner John Castle Ron Maxwell Drama History War
884,Robert Butler,Lauren Holly,Action Thriller,Hector Elizondo,turbulence,Jeffrey DeMunn,Hector Elizondo Lauren Holly Jeffrey DeMunn Robert Butler Action Thriller
885,Karey Kirkpatrick,Ronny Cox,Comedy Drama Family Fantasy,Stephen Root,imagine that,Richard Schiff,Stephen Root Ronny Cox Richard Schiff Karey Kirkpatrick Comedy Drama Family Fantasy
886,James Bobin,Tina Fey,Adventure Comedy Crime Family Musical,Ty Burrell,muppets most wanted,Hugh Bonneville,Ty Burrell Tina Fey Hugh Bonneville James Bobin Adventure Comedy Crime Family Musical
887,Jonathan Frakes,Philip Winchester,Action Adventure Comedy Family Sci-Fi,Sophia Myles,thunderbirds,Brady Corbet,Sophia Myles Philip Winchester Brady Corbet Jonathan Frakes Action Adventure Comedy Family Sci-Fi
888,Steve Antin,Peter Gallagher,Drama Music Musical Romance,Eric Dane,burlesque,David Walton,Eric Dane Peter Gallagher David Walton Steve Antin Drama Music Musical Romance
890,Stanley Kubrick,Shelley Winters,Crime Drama Romance,James Mason,lolita,Lois Maxwell,James Mason Shelley Winters Lois Maxwell Stanley Kubrick Crime Drama Romance
891,Jim Gillespie,Tom Berenger,Crime Horror Mystery Thriller,Sylvester Stallone,eye see you,Charles S. Dutton,Sylvester Stallone Tom Berenger Charles S. Dutton Jim Gillespie Crime Horror Mystery Thriller
892,Guillermo del Toro,Thomas Kretschmann,Action Horror Sci-Fi Thriller,Norman Reedus,blade ii,Tony Curran,Norman Reedus Thomas Kretschmann Tony Curran Guillermo del Toro Action Horror Sci-Fi Thriller
893,Gabriele Muccino,Rosario Dawson,Drama Romance,Will Smith,seven pounds,Madison Pettis,Will Smith Rosario Dawson Madison Pettis Gabriele Muccino Drama Romance
894,Walter Hill,Jason Momoa,Action Thriller,Sylvester Stallone,bullet to the head,Jon Seda,Sylvester Stallone Jason Momoa Jon Seda Walter Hill Action Thriller
895,Francis Ford Coppola,Joe Mantegna,Crime Drama,Al Pacino,the godfather: part iii,Bridget Fonda,Al Pacino Joe Mantegna Bridget Fonda Francis Ford Coppola Crime Drama
896,Cameron Crowe,Kirsten Dunst,Comedy Drama Romance,Orlando Bloom,elizabethtown,Judy Greer,Orlando Bloom Kirsten Dunst Judy Greer Cameron Crowe Comedy Drama Romance
897,Anthony Russo,Billy Gardell,Comedy Romance,Todd Stashwick,"you, me and dupree",Amanda Detmer,Todd Stashwick Billy Gardell Amanda Detmer Anthony Russo Comedy Romance
898,Richard Lester,Ned Beatty,Action Adventure Romance Sci-Fi,Margot Kidder,superman ii,Jackie Cooper,Margot Kidder Ned Beatty Jackie Cooper Richard Lester Action Adventure Romance Sci-Fi
899,Martin Brest,Lenny Venito,Comedy Crime Romance,Todd Giebenhain,gigli,David Backus,Todd Giebenhain Lenny Venito David Backus Martin Brest Comedy Crime Romance
900,Steven Zaillian,Anthony Hopkins,Drama Thriller,Kate Winslet,all the king's men,Kevin Dunn,Kate Winslet Anthony Hopkins Kevin Dunn Steven Zaillian Drama Thriller
901,John Singleton,Vanessa Williams,Action Crime Thriller,Christian Bale,shaft,Daniel von Bargen,Christian Bale Vanessa Williams Daniel von Bargen John Singleton Action Crime Thriller
902,Don Bluth,Kelsey Grammer,Adventure Animation Drama Family Fantasy Musical Mystery Romance,Kirsten Dunst,anastasia,Bernadette Peters,Kirsten Dunst Kelsey Grammer Bernadette Peters Don Bluth Adventure Animation Drama Family Fantasy Musical Mystery Romance
903,Baz Luhrmann,Kylie Minogue,Drama Musical Romance,Jim Broadbent,moulin rouge!,Richard Roxburgh,Jim Broadbent Kylie Minogue Richard Roxburgh Baz Luhrmann Drama Musical Romance
904,Harold Becker,Teri Polo,Crime Mystery Thriller,Steve Buscemi,domestic disturbance,Matt O'Leary,Steve Buscemi Teri Polo Matt O'Leary Harold Becker Crime Mystery Thriller
905,Scott Cooper,Benedict Cumberbatch,Biography Crime Drama,Johnny Depp,black mass,Adam Scott,Johnny Depp Benedict Cumberbatch Adam Scott Scott Cooper Biography Crime Drama
906,Clint Eastwood,Chris Bauer,Drama History War,Paul Walker,flags of our fathers,Tom McCarthy,Paul Walker Chris Bauer Tom McCarthy Clint Eastwood Drama History War
907,F. Gary Gray,Leslie Bibb,Crime Drama Thriller,Gerard Butler,law abiding citizen,Michael Kelly,Gerard Butler Leslie Bibb Michael Kelly F. Gary Gray Crime Drama Thriller
908,Robert Rodriguez,Rosario Dawson,Action Horror Thriller,Quentin Tarantino,grindhouse,Zoë Bell,Quentin Tarantino Rosario Dawson Zoë Bell Robert Rodriguez Action Horror Thriller
909,Jonathan Demme,Kimberly Elise,Drama History Horror,Oprah Winfrey,beloved,Hill Harper,Oprah Winfrey Kimberly Elise Hill Harper Jonathan Demme Drama History Horror
910,Curtis Hanson,Robert Duvall,Drama Romance Sport,Robert Downey Jr.,lucky you,Kelvin Han Yee,Robert Downey Jr. Robert Duvall Kelvin Han Yee Curtis Hanson Drama Romance Sport
911,Steven Spielberg,Tom Hanks,Biography Crime Drama,Leonardo DiCaprio,catch me if you can,Jennifer Garner,Leonardo DiCaprio Tom Hanks Jennifer Garner Steven Spielberg Biography Crime Drama
912,Kathryn Bigelow,Harold Perrineau,Drama History Thriller,Jennifer Ehle,zero dark thirty,Parker Sawyers,Jennifer Ehle Harold Perrineau Parker Sawyers Kathryn Bigelow Drama History Thriller
913,Peyton Reed,John Michael Higgins,Comedy Drama Romance,Jon Favreau,the break-up,Ann-Margret,Jon Favreau John Michael Higgins Ann-Margret Peyton Reed Comedy Drama Romance
914,Phyllida Lloyd,Meryl Streep,Comedy Family Musical Romance,Colin Firth,mamma mia!,Julie Walters,Colin Firth Meryl Streep Julie Walters Phyllida Lloyd Comedy Family Musical Romance
915,Garry Marshall,Taylor Lautner,Comedy Romance,Bradley Cooper,valentine's day,Anne Hathaway,Bradley Cooper Taylor Lautner Anne Hathaway Garry Marshall Comedy Romance
916,Jay Chandrasekhar,Jessica Simpson,Action Adventure Comedy,Alice Greczyn,the dukes of hazzard,Michael Weston,Alice Greczyn Jessica Simpson Michael Weston Jay Chandrasekhar Action Adventure Comedy
917,Terrence Malick,Miranda Otto,Drama War,Nick Stahl,the thin red line,Dash Mihok,Nick Stahl Miranda Otto Dash Mihok Terrence Malick Drama War
918,David Dobkin,Olivia Wilde,Comedy Fantasy,Ryan Reynolds,the change-up,Mircea Monroe,Ryan Reynolds Olivia Wilde Mircea Monroe David Dobkin Comedy Fantasy
919,Milos Forman,Gerry Becker,Biography Comedy Drama,Matt Price,man on the moon,Tom Dreesen,Matt Price Gerry Becker Tom Dreesen Milos Forman Biography Comedy Drama
920,Martin Scorsese,Don Rickles,Biography Crime Drama,Robert De Niro,casino,Kevin Pollak,Robert De Niro Don Rickles Kevin Pollak Martin Scorsese Biography Crime Drama
921,Pierre Morel,Amber Rose Revah,Action Thriller,Kasia Smutniak,from paris with love,Rebecca Dayan,Kasia Smutniak Amber Rose Revah Rebecca Dayan Pierre Morel Action Thriller
922,Paul Hunter,Mako,Action Comedy Fantasy,Jaime King,bulletproof monk,Victoria Smurfit,Jaime King Mako Victoria Smurfit Paul Hunter Action Comedy Fantasy
923,Bobby Farrelly,Tony Cox,Comedy,Robert Forster,"me, myself & irene",Rob Moran,Robert Forster Tony Cox Rob Moran Bobby Farrelly Comedy
924,Steve Oedekerk,Wanda Sykes,Animation Comedy Family,Rob Paulsen,barnyard,Maurice LaMarche,Rob Paulsen Wanda Sykes Maurice LaMarche Steve Oedekerk Animation Comedy Family
925,John Whitesell,Jorge Garcia,Comedy Family,Matthew Broderick,deck the halls,Alia Shawkat,Matthew Broderick Jorge Garcia Alia Shawkat John Whitesell Comedy Family
926,Chris Weitz,Kristen Stewart,Adventure Drama Fantasy Romance,Robert Pattinson,the twilight saga: new moon,Taylor Lautner,Robert Pattinson Kristen Stewart Taylor Lautner Chris Weitz Adventure Drama Fantasy Romance
927,Andrew Adamson,Chris Miller,Adventure Animation Comedy Family Fantasy,Kathleen Freeman,shrek,Bobby Block,Kathleen Freeman Chris Miller Bobby Block Andrew Adamson Adventure Animation Comedy Family Fantasy
928,George Nolfi,Michael Kelly,Romance Sci-Fi Thriller,Matt Damon,the adjustment bureau,Jon Stewart,Matt Damon Michael Kelly Jon Stewart George Nolfi Romance Sci-Fi Thriller
929,Kevin Reynolds,Morgan Freeman,Action Adventure Drama Romance,Alan Rickman,robin hood: prince of thieves,Michael Wincott,Alan Rickman Morgan Freeman Michael Wincott Kevin Reynolds Action Adventure Drama Romance
930,Cameron Crowe,Kelly Preston,Comedy Drama Romance Sport,Tom Cruise,jerry maguire,Bonnie Hunt,Tom Cruise Kelly Preston Bonnie Hunt Cameron Crowe Comedy Drama Romance Sport
931,Seth MacFarlane,Seth MacFarlane,Comedy Fantasy,Mila Kunis,ted,Tom Skerritt,Mila Kunis Seth MacFarlane Tom Skerritt Seth MacFarlane Comedy Fantasy
932,James L. Brooks,Yeardley Smith,Comedy Drama Romance,Lupe Ontiveros,as good as it gets,Shirley Knight,Lupe Ontiveros Yeardley Smith Shirley Knight James L. Brooks Comedy Drama Romance
933,Tom Shadyac,Philip Seymour Hoffman,Biography Comedy Drama Romance,Robin Williams,patch adams,Monica Potter,Robin Williams Philip Seymour Hoffman Monica Potter Tom Shadyac Biography Comedy Drama Romance
934,Adam McKay,Will Ferrell,Comedy,Harrison Ford,anchorman 2: the legend continues,Steve Carell,Harrison Ford Will Ferrell Steve Carell Adam McKay Comedy
935,Steven Brill,Adam Sandler,Comedy Romance,Steve Buscemi,mr. deeds,Peter Gallagher,Steve Buscemi Adam Sandler Peter Gallagher Steven Brill Comedy Romance
936,J.J. Abrams,AJ Michalka,Mystery Sci-Fi Thriller,Joel Courtney,super 8,Zach Mills,Joel Courtney AJ Michalka Zach Mills J.J. Abrams Mystery Sci-Fi Thriller
937,Steven Soderbergh,Albert Finney,Biography Drama,Julia Roberts,erin brockovich,Conchata Ferrell,Julia Roberts Albert Finney Conchata Ferrell Steven Soderbergh Biography Drama
938,Donald Petrie,Adam Goldberg,Comedy Romance,Matthew McConaughey,how to lose a guy in 10 days,Thomas Lennon,Matthew McConaughey Adam Goldberg Thomas Lennon Donald Petrie Comedy Romance
939,Phil Lord,Craig Roberts,Action Comedy Crime,Channing Tatum,22 jump street,Amber Stevens West,Channing Tatum Craig Roberts Amber Stevens West Phil Lord Action Comedy Crime
940,Neil Jordan,Tom Cruise,Drama Fantasy Horror,Brad Pitt,interview with the vampire: the vampire chronicles,Kirsten Dunst,Brad Pitt Tom Cruise Kirsten Dunst Neil Jordan Drama Fantasy Horror
941,Peyton Reed,Zooey Deschanel,Comedy Romance,Bradley Cooper,yes man,Danny Masterson,Bradley Cooper Zooey Deschanel Danny Masterson Peyton Reed Comedy Romance
942,Rawson Marshall Thurber,Thomas Kretschmann,Action Comedy Crime,Dwayne Johnson,central intelligence,Megan Park,Dwayne Johnson Thomas Kretschmann Megan Park Rawson Marshall Thurber Action Comedy Crime
